Language,ISO-639-1 Code,macroarea
Afrikaans,af,Africa
Albanian,sq,Eurasia
Amharic,am,Africa
Arabic,ar,
Armenian,hy,
Azerbaijani,az,Eurasia
Basque,eu,Eurasia
Belarusian,be,
Bengali,bn,Eurasia
Bosnian,bs,Eurasia
Bulgarian,bg,Eurasia
Catalan,ca,Eurasia
Cebuano,ceb (ISO-639-2),Papunesia
Chinese (Simplified),zh-CN or zh (BCP-47),
Chinese (Traditional),zh-TW (BCP-47),
Corsican,co,
Croatian,hr,
Czech,cs,Eurasia
Danish,da,Eurasia
Dutch,nl,Eurasia
English,en,Eurasia
Esperanto,eo,
Estonian,et,Eurasia
Finnish,fi,Eurasia
French,fr,Eurasia
Frisian,fy,Eurasia
Galician,gl,Eurasia
Georgian,ka,Eurasia
German,de,Eurasia
Greek,el,
Gujarati,gu,Eurasia
Haitian Creole,ht,North America
Hausa,ha,Africa
Hawaiian,haw (ISO-639-2),Papunesia
Hebrew,he or iw,
Hindi,hi,Eurasia
Hmong,hmn (ISO-639-2),
Hungarian,hu,Eurasia
Icelandic,is,Eurasia
Igbo,ig,Africa
Indonesian,id,Papunesia
Irish,ga,Eurasia
Italian,it,Eurasia
Japanese,ja,Eurasia
Javanese,jv,Papunesia
Kannada,kn,Eurasia
Kazakh,kk,Eurasia
Khmer,km,Eurasia
Kinyarwanda,rw,Africa
Korean,ko,Eurasia
Kurdish,ku,
Kyrgyz,ky,
Lao,lo,Eurasia
Latvian,lv,Eurasia
Lithuanian,lt,Eurasia
Luxembourgish,lb,
Macedonian,mk,Eurasia
Malagasy,mg,Africa
Malay,ms,Eurasia
Malayalam,ml,Eurasia
Maltese,mt,Eurasia
Maori,mi,Papunesia
Marathi,mr,Eurasia
Mongolian,mn,
Myanmar (Burmese),my,
Nepali,ne,Eurasia
Norwegian,no,Eurasia
Nyanja (Chichewa),ny,
Odia (Oriya),or,
Pashto,ps,Eurasia
Persian,fa,Eurasia
Polish,pl,Eurasia
"Portuguese (Portugal, Brazil)",pt,
Punjabi,pa,
Romanian,ro,Eurasia
Russian,ru,Eurasia
Samoan,sm,Papunesia
Scots Gaelic,gd,
Serbian,sr,
Sesotho,st,Africa
Shona,sn,Africa
Sindhi,sd,Eurasia
Sinhala (Sinhalese),si,
Slovak,sk,Eurasia
Slovenian,sl,
Somali,so,Africa
Spanish,es,Eurasia
Sundanese,su,Papunesia
Swahili,sw,Africa
Swedish,sv,Eurasia
Tagalog (Filipino),tl,
Tajik,tg,Eurasia
Tamil,ta,Eurasia
Tatar,tt,Eurasia
Telugu,te,Eurasia
Thai,th,Eurasia
Turkish,tr,Eurasia
Turkmen,tk,Eurasia
Ukrainian,uk,Eurasia
Urdu,ur,Eurasia
Uyghur,ug,Eurasia
Uzbek,uz,Eurasia
Vietnamese,vi,Eurasia
Welsh,cy,Eurasia
Xhosa,xh,Africa
Yiddish,yi,Eurasia
Yoruba,yo,Africa
Zulu,zu,Africa
