Language Name,Locale Code,Localized Name
Af-Soomaali,so_SO,Somali
Afrikaans,af_ZA,Afrikaans
Azərbaycan dili,az_AZ,Azerbaijani
Bahasa Indonesia,id_ID,Indonesian
Bahasa Melayu,ms_MY,Malay
Basa Jawa,jv_ID,Javanese
Bisaya,cx_PH,Cebuano
Bosanski,bs_BA,Bosnian
Brezhoneg,br_FR,Breton
Català,ca_ES,Catalan
Corsu,co_FR,Corsican
Cymraeg,cy_GB,Welsh
Dansk,da_DK,Danish
Deutsch,de_DE,German
Eesti,et_EE,Estonian
English (UK),en_GB,English (UK)
English (US),en_US,English (US)
Español,es_LA,Spanish
Español (España),es_ES,Spanish (Spain)
Esperanto,eo_EO,Esperanto
Euskara,eu_ES,Basque
Filipino,tl_PH,Filipino
Français (Canada),fr_CA,French (Canada)
Français (France),fr_FR,French (France)
Frysk,fy_NL,Frisian
Fula,ff_NG,Fula
Føroyskt,fo_FO,Faroese
Gaeilge,ga_IE,Irish
Galego,gl_ES,Galician
Guarani,gn_PY,Guarani
Hausa,ha_NG,Hausa
Hrvatski,hr_HR,Croatian
Ikinyarwanda,rw_RW,Kinyarwanda
Italiano,it_IT,Italian
Iñupiatun,ik_US,Inupiaq
Kiswahili,sw_KE,Swahili
Kreyòl Ayisyen,ht_HT,Haitian Creole
Kurdî (Kurmancî),ku_TR,Kurdish (Kurmanji)
Latviešu,lv_LV,Latvian
Lietuvių,lt_LT,Lithuanian
Magyar,hu_HU,Hungarian
Malagasy,mg_MG,Malagasy
Malti,mt_MT,Maltese
Nederlands,nl_NL,Dutch
Norsk (bokmål),nb_NO,Norwegian (bokmal)
Norsk (nynorsk),nn_NO,Norwegian (nynorsk)
O'zbek,uz_UZ,Uzbek
Polski,pl_PL,Polish
Português (Brasil),pt_BR,Portuguese (Brazil)
Português (Portugal),pt_PT,Portuguese (Portugal)
Română,ro_RO,Romanian
Sardu,sc_IT,Sardinian
Shona,sn_ZW,Shona
Shqip,sq_AL,Albanian
Slovenčina,sk_SK,Slovak
Slovenščina,sl_SI,Slovenian
Suomi,fi_FI,Finnish
Svenska,sv_SE,Swedish
Tiếng Việt,vi_VN,Vietnamese
Türkçe,tr_TR,Turkish
Vlaams,nl_BE,Flemish
Zaza,zz_TR,Zaza
Íslenska,is_IS,Icelandic
Čeština,cs_CZ,Czech
ślōnskŏ gŏdka,sz_PL,Silesian
Ελληνικά,el_GR,Greek
Беларуская,be_BY,Belarusian
Български,bg_BG,Bulgarian
Македонски,mk_MK,Macedonian
Монгол,mn_MN,Mongolian
Русский,ru_RU,Russian
Српски,sr_RS,Serbian
Татарча,tt_RU,Tatar
Тоҷикӣ,tg_TJ,Tajik
Українська,uk_UA,Ukrainian
кыргызча,ky_KG,Kyrgyz
Қазақша,kk_KZ,Kazakh
Հայերեն,hy_AM,Armenian
עברית,he_IL,Hebrew
اردو,ur_PK,Urdu
العربية,ar_AR,Arabic
فارسی,fa_IR,Persian
پښتو,ps_AF,Pashto
کوردیی ناوەندی,cb_IQ,Sorani Kurdish
ܣܘܪܝܝܐ,sy_SY,Syriac
नेपाली,ne_NP,Nepali
मराठी,mr_IN,Marathi
हिन्दी,hi_IN,Hindi
অসমীয়া,as_IN,Assamese
বাংলা,bn_IN,Bengali
ਪੰਜਾਬੀ,pa_IN,Punjabi
ગુજરાતી,gu_IN,Gujarati
ଓଡ଼ିଆ,or_IN,Oriya
தமிழ்,ta_IN,Tamil
తెలుగు,te_IN,Telugu
ಕನ್ನಡ,kn_IN,Kannada
മലയാളം,ml_IN,Malayalam
සිංහල,si_LK,Sinhala
ภาษาไทย,th_TH,Thai
ພາສາລາວ,lo_LA,Lao
မြန်မာဘာသာ,my_MM,Burmese
ქართული,ka_GE,Georgian
አማርኛ,am_ET,Amharic
ភាសាខ្មែរ,km_KH,Khmer
ⵜⴰⵎⴰⵣⵉⵖⵜ,tz_MA,Tamazight
中文(台灣),zh_TW,Traditional Chinese (Taiwan)
中文(简体),zh_CN,Simplified Chinese (China)
中文(香港),zh_HK,Traditional Chinese (Hong Kong)
日本語,ja_JP,Japanese
日本語(関西),ja_KS,Japanese (Kansai)
한국어,ko_KR,Korean
