Code,Language,Language Restrict
'af,'Afrikaans,'lang_af'
'ca,'català,'lang_ca'
'cs,'čeština,'lang_cs'
'da,'dansk,'lang_da'
'de,'Deutsch,'lang_de'
'et,'eesti,'lang_et'
'en,'English,"true,'lang_en'"
'es,'español,'lang_es'
'eo,'esperanto,'lang_eo'
'tl,'Filipino,'lang_tl'
'fr,'français,'lang_fr'
'hr,'hrvatski,'lang_hr'
'id,'Indonesia,'lang_id'
'is,'íslenska,'lang_is'
'it,'italiano,'lang_it'
'sw,'Kiswahili,'lang_sw'
'lv,'latviešu,'lang_lv'
'lt,'lietuvių,'lang_lt'
'hu,'magyar,'lang_hu'
'nl,'Nederlands,'lang_nl'
'no,'norsk,'lang_no'
'pl,'polski,'lang_pl'
'pt,'português,'lang_pt'
'ro,'română,'lang_ro'
'sk,'slovenčina,'lang_sk'
'sl,'slovenščina,'lang_sl'
'fi,'suomi,'lang_fi'
'sv,'svenska,'lang_sv'
'vi,'Tiếng Việt,'lang_vi'
'tr,'Türkçe,'lang_tr'
'el,'Ελληνικά,'lang_el'
'be,'беларуская,'lang_be'
'bg,'български,'lang_bg'
'ru,'русский,'lang_ru'
'sr,'српски,'lang_sr'
'uk,'українська,'lang_uk'
'hy,'հայերեն,'lang_hy'
'iw,'עברית,'lang_iw'
'ar,'العربية,'lang_ar'
'fa,'فارسی,'lang_fa'
'hi,'हिन्दी,'lang_hi'
'th,'ไทย,'lang_th'
'ko,'한국어,'lang_ko'
'zh-CN,'中文 (简体),'lang_zh-CN'
'zh-TW,'中文 (繁體),'lang_zh-TW'
'ja,'日本語,'lang_ja'
