Language,Text,Speech,Multi-DeviceConversation,Image,Offline,Text-to-speech,macroarea
Afrikaans,Yes,Yes,,,,,Africa
Albanian,Yes,,,,,,Eurasia
Amharic,Yes,,,,,,Africa
Arabic,Yes,Yes,Yes,Yes,Yes,,
Arabic (Levantine),Yes,Yes,,,,,
Armenian,Yes,,,,,,
Assamese,Yes,,,,,,Eurasia
Azerbaijani,Yes,,,,,,Eurasia
Bangla,Yes,Yes,,,,,
Bashkir,Yes,,,,,,Eurasia
Bosnian,Yes,Yes,,,,,Eurasia
Bulgarian,Yes,Yes,Yes,Yes,Yes,,Eurasia
Cantonese (Traditional),Yes,Yes,Yes,Yes,Yes,,
Catalan,Yes,Yes,Yes,Yes,Yes,,Eurasia
Chinese (Literary),Yes,,,,,,
Chinese Simplified,Yes,Yes,Yes,Yes,Yes,Yes,
Chinese Traditional,Yes,Yes,Yes,Yes,Yes,Yes,
Croatian,Yes,Yes,Yes,Yes,Yes,,
Czech,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Dari,Yes,,,,,,Eurasia
Danish,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Divehi,Yes,,,,,,
Dutch,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
English,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Estonian,Yes,Yes,Yes,,,,Eurasia
Fijian,Yes,,,,,,Papunesia
Filipino,Yes,Yes,Yes,,,,
Finnish,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
French,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
French (Canada),Yes,Yes,Yes,Yes,,,
Georgian,Yes,,,,,,Eurasia
German,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Greek,Yes,Yes,Yes,Yes,Yes,Yes,
Gujarati,Yes,Yes,Yes,,,,Eurasia
Haitian Creole,Yes,,,,,,North America
Hebrew,Yes,Yes,Yes,,,,
Hindi,Yes,Yes,Yes,Yes,Yes,,Eurasia
Hmong Daw,Yes,,,,,,Eurasia
Hungarian,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Icelandic,Yes,,,,,,Eurasia
Indonesian,Yes,Yes,Yes,Yes,Yes,,Papunesia
Inuktitut,Yes,,,,,,
Irish,Yes,Yes,,,,,Eurasia
Italian,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Japanese,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Kannada,Yes,,,,,,Eurasia
Kazakh,Yes,,,,,,Eurasia
Khmer,Yes,,,,,,Eurasia
Klingon,Yes,,,,,,
Klingon (plqaD),Yes,,,,,,
Korean,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Kurdish (Central),Yes,,,,,,Eurasia
Kurdish (Northern),Yes,,,,,,
Kyrgyz,Yes,,,,,,
Lao,Yes,,,,,,Eurasia
Latvian,Yes,Yes,Yes,,,,Eurasia
Lithuanian,Yes,Yes,Yes,,,,Eurasia
Macedonian,Yes,,,,,,Eurasia
Malagasy,Yes,,,,,,Africa
Malay,Yes,Yes,Yes,Yes,Yes,,Eurasia
Malayalam,Yes,,,,,,Eurasia
Maltese,Yes,Yes,Yes,,,,Eurasia
Maori,Yes,,,,,,Papunesia
Marathi,Yes,Yes,,,,,Eurasia
Mongolian (Cyrillic),Yes,,,,,,
Mongolian (Traditional),Yes,,,,,,
Myanmar,Yes,,,,,,
Nepali,Yes,,,,,,Eurasia
Norwegian,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Odia,Yes,,,,,,
Pashto,Yes,,,,,,Eurasia
Persian,Yes,Yes,,,,,Eurasia
Polish,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Portuguese (Brazil),Yes,Yes,Yes,Yes,Yes,Yes,
Portuguese (Portugal),Yes,Yes,Yes,Yes,,,
Punjabi,Yes,,,,,,
Queretaro Otomi,Yes,,,,,,
Romanian,Yes,Yes,Yes,Yes,Yes,,Eurasia
Russian,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Samoan,Yes,,,,,,Papunesia
Serbian (Cyrillic),Yes,,,,,,
Serbian (Latin),Yes,Yes,,,,,
Slovak,Yes,Yes,Yes,Yes,Yes,,Eurasia
Slovenian,Yes,Yes,Yes,Yes,Yes,,
Spanish,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Swahili,Yes,,,,,,Africa
Swedish,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Tahitian,Yes,,,,,,Papunesia
Tamil,Yes,Yes,Yes,Yes,Yes,,Eurasia
Tatar,Yes,,,,,,Eurasia
Telugu,Yes,Yes,Yes,Yes,,,Eurasia
Thai,Yes,Yes,Yes,Yes,Yes,,Eurasia
Tibetan,Yes,,,,,,
Tigrinya,Yes,,,,,,Africa
Tongan,Yes,,,,,,Papunesia
Turkish,Yes,Yes,Yes,Yes,Yes,Yes,Eurasia
Turkmen,Yes,,,,,,Eurasia
Ukrainian,Yes,Yes,,,,,Eurasia
Urdu,Yes,Yes,,,,,Eurasia
Uyghur,Yes,,,,,,Eurasia
Uzbek (Latin),Yes,,,,,,
Vietnamese,Yes,Yes,Yes,Yes,Yes,,Eurasia
Welsh,Yes,Yes,,,,,Eurasia
Yucatec Maya,Yes,,,,,,
